contrat_id,annee,branche,zone_geo,somme_assuree,nb_salaries,secteur,historique_sinistres,proba_sinistre,a_sinistre,montant_brut,depasse_priorite,charge_reassureur,montant_hors_traite,prime_fictive
61,2019,sante,Province,128232.0,389,industrie,1,0.0703116,0,0.0,0,0.0,0.0,641.16
62,2020,rc,Paris,253988.0,457,services,1,0.08339940000000001,0,0.0,0,0.0,0.0,1269.94
63,2017,sante,Paris,49533.0,195,services,0,0.03697665,0,0.0,0,0.0,0.0,247.665
64,2017,sante,Province,51073.0,126,services,1,0.04015365,0,0.0,0,0.0,0.0,255.365
65,2019,prevoyance,Cotier,216222.0,195,sante,1,0.15531109999999998,0,0.0,0,0.0,0.0,1081.1100000000001
66,2017,rc,Cotier,367420.0,283,sante,2,0.141671,0,0.0,0,0.0,0.0,1837.1000000000001
67,2017,prevoyance,Paris,17157.0,160,industrie,4,0.11185785,0,0.0,0,0.0,0.0,85.785
68,2019,rc,Paris,304500.0,361,btp,1,0.106325,0,0.0,0,0.0,0.0,1522.5
69,2019,rc,Paris,84809.0,422,industrie,2,0.08144045,0,0.0,0,0.0,0.0,424.045
70,2016,prevoyance,Cotier,129137.0,160,industrie,0,0.13745685,0,0.0,0,0.0,0.0,645.6850000000001
71,2020,prevoyance,Cotier,32617.0,393,industrie,0,0.15593085,1,202476.13745491125,1,2476.1374549112516,0.0,163.085
72,2020,sante,Province,58575.0,45,services,3,0.052428749999999996,0,0.0,0,0.0,0.0,292.875
73,2017,prevoyance,Paris,518840.0,335,industrie,1,0.124442,0,0.0,0,0.0,0.0,2594.2000000000003
74,2020,rc,Province,169301.0,474,services,1,0.08086505000000001,0,0.0,0,0.0,0.0,846.505
75,2017,prevoyance,Province,102813.0,475,industrie,5,0.15764065,0,0.0,0,0.0,0.0,514.065
76,2016,prevoyance,Paris,141522.0,104,services,2,0.0924761,1,292006.2358926052,1,92006.23589260521,0.0,707.61
77,2019,rc,Province,292744.0,143,sante,2,0.0639372,0,0.0,0,0.0,0.0,1463.72
78,2019,sante,Paris,276121.0,171,sante,0,0.045906050000000004,0,0.0,0,0.0,0.0,1380.605
79,2019,rc,Paris,148742.0,53,btp,0,0.0577371,0,0.0,0,0.0,0.0,743.71
80,2020,prevoyance,Cotier,604134.0,309,services,2,0.1961067,0,0.0,0,0.0,0.0,3020.67
81,2016,sante,Province,521547.0,292,btp,0,0.10027735,0,0.0,0,0.0,0.0,2607.735
82,2020,sante,Province,267278.0,365,btp,1,0.10486390000000001,0,0.0,0,0.0,0.0,1336.39
83,2020,sante,Province,173778.0,249,btp,2,0.09858890000000001,0,0.0,0,0.0,0.0,868.89
84,2016,sante,Paris,358178.0,61,industrie,3,0.06900889999999998,0,0.0,0,0.0,0.0,1790.89
85,2016,sante,Province,237310.0,435,services,3,0.1003655,0,0.0,0,0.0,0.0,1186.55
86,2016,prevoyance,Province,581264.0,290,services,4,0.1530632,0,0.0,0,0.0,0.0,2906.32
87,2016,prevoyance,Province,479009.0,83,services,1,0.09725045,0,0.0,0,0.0,0.0,2395.045
88,2019,sante,Province,47959.0,304,services,3,0.07779794999999999,0,0.0,0,0.0,0.0,239.79500000000002
89,2018,prevoyance,Paris,44216.0,247,btp,0,0.1119108,1,290026.79071380425,1,90026.79071380425,0.0,221.08
90,2018,sante,Paris,70158.0,176,btp,0,0.0661079,0,0.0,0,0.0,0.0,350.79
91,2016,prevoyance,Province,525112.0,149,industrie,1,0.10615559999999999,0,0.0,0,0.0,0.0,2625.56
92,2018,sante,Paris,24549.0,148,services,4,0.07102744999999999,0,0.0,0,0.0,0.0,122.745
93,2018,sante,Province,261374.0,378,services,1,0.0758687,0,0.0,0,0.0,0.0,1306.8700000000001
94,2016,prevoyance,Paris,251463.0,244,industrie,1,0.10197315,0,0.0,0,0.0,0.0,1257.315
95,2018,prevoyance,Paris,656828.0,12,industrie,6,0.14904140000000002,0,0.0,0,0.0,0.0,3284.14
96,2020,prevoyance,Paris,202077.0,265,btp,0,0.12160385000000001,1,212655.18076350095,1,12655.180763500946,0.0,1010.385
97,2017,sante,Cotier,32472.0,380,services,0,0.11462359999999999,0,0.0,0,0.0,0.0,162.36
98,2017,rc,Paris,51471.0,287,sante,2,0.06627355,0,0.0,0,0.0,0.0,257.355
99,2016,prevoyance,Province,39403.0,13,btp,2,0.10827015,0,0.0,0,0.0,0.0,197.01500000000001
100,2019,sante,Province,85346.0,401,sante,2,0.0793673,0,0.0,0,0.0,0.0,426.73
101,2016,prevoyance,Paris,130681.0,279,industrie,0,0.08943405,0,0.0,0,0.0,0.0,653.405
102,2019,prevoyance,Province,40194.0,221,industrie,0,0.0791097,0,0.0,0,0.0,0.0,200.97
103,2017,rc,Province,950548.0,225,services,0,0.0850274,0,0.0,0,0.0,0.0,4752.74
104,2016,prevoyance,Province,33179.0,279,industrie,1,0.09455895,0,0.0,0,0.0,0.0,165.895
105,2020,prevoyance,Cotier,818578.0,485,services,1,0.21442889999999998,1,324697.1586429722,1,124697.15864297218,0.0,4092.89
106,2018,prevoyance,Paris,674816.0,25,btp,0,0.12124080000000001,0,0.0,0,0.0,0.0,3374.08
107,2019,prevoyance,Paris,478285.0,425,sante,3,0.15141425,1,279188.7831966592,1,79188.78319665918,0.0,2391.425
108,2018,prevoyance,Cotier,70790.0,73,sante,0,0.1258395,0,0.0,0,0.0,0.0,353.95
109,2018,prevoyance,Paris,245473.0,248,services,1,0.10207365,0,0.0,0,0.0,0.0,1227.365
110,2016,sante,Province,35142.0,469,services,0,0.06365710000000001,0,0.0,0,0.0,0.0,175.71
111,2018,prevoyance,Province,485575.0,25,industrie,2,0.10177875,0,0.0,0,0.0,0.0,2427.875
112,2020,sante,Paris,148928.0,61,services,1,0.0385464,0,0.0,0,0.0,0.0,744.64
113,2018,prevoyance,Province,99590.0,28,sante,2,0.08277949999999999,0,0.0,0,0.0,0.0,497.95
114,2016,prevoyance,Paris,37478.0,334,industrie,2,0.1102739,0,0.0,0,0.0,0.0,187.39000000000001
115,2020,sante,Paris,8325.0,405,services,3,0.08591625,0,0.0,0,0.0,0.0,41.625
116,2017,rc,Paris,46805.0,102,sante,1,0.03754025,0,0.0,0,0.0,0.0,234.025
117,2018,prevoyance,Cotier,618689.0,270,industrie,2,0.19293444999999998,0,0.0,0,0.0,0.0,3093.445
118,2016,rc,Paris,100368.0,307,sante,2,0.0707184,0,0.0,0,0.0,0.0,501.84000000000003
119,2017,sante,Province,132827.0,26,industrie,3,0.05424135,0,0.0,0,0.0,0.0,664.135
120,2017,sante,Cotier,357419.0,120,sante,3,0.13487095,0,0.0,0,0.0,0.0,1787.095
121,2019,sante,Province,1420902.0,337,services,2,0.1397451,1,204974.48490493922,1,4974.484904939221,0.0,7104.51
122,2020,prevoyance,Province,798113.0,369,industrie,2,0.15180565000000001,0,0.0,0,0.0,0.0,3990.565
123,2018,prevoyance,Province,50676.0,497,industrie,0,0.1072338,0,0.0,0,0.0,0.0,253.38
124,2016,sante,Paris,15818.0,103,btp,0,0.0560909,0,0.0,0,0.0,0.0,79.09
125,2019,prevoyance,Province,2762197.0,19,sante,3,0.22500985,1,223620.95280468877,1,23620.95280468877,0.0,13810.985
126,2020,rc,Province,2477573.0,221,services,0,0.16097865,0,0.0,0,0.0,0.0,12387.865
127,2019,prevoyance,Cotier,204055.0,246,sante,1,0.15980275000000002,0,0.0,0,0.0,0.0,1020.275
128,2020,prevoyance,Cotier,35434.0,263,btp,6,0.23307169999999997,0,0.0,0,0.0,0.0,177.17000000000002
129,2020,sante,Cotier,517038.0,25,industrie,3,0.1333519,0,0.0,0,0.0,0.0,2585.19
130,2018,prevoyance,Cotier,142974.0,498,btp,3,0.23194869999999998,0,0.0,0,0.0,0.0,714.87
131,2020,sante,Province,142119.0,153,services,1,0.04740595,0,0.0,0,0.0,0.0,710.595
132,2019,sante,Province,476084.0,51,services,2,0.0639042,0,0.0,0,0.0,0.0,2380.42
133,2020,rc,Cotier,243105.0,12,industrie,2,0.10835525,1,270023.35974610166,1,70023.35974610166,0.0,1215.525
134,2018,sante,Paris,39223.0,416,services,1,0.06856115000000002,1,288293.3197991048,1,88293.31979910482,0.0,196.115
135,2018,sante,Cotier,110228.0,479,services,0,0.1284114,0,0.0,0,0.0,0.0,551.14
136,2019,sante,Province,359829.0,386,industrie,0,0.07159145,1,394884.1786615916,1,194884.1786615916,0.0,1799.145
137,2017,rc,Province,300230.0,165,services,4,0.0865115,0,0.0,0,0.0,0.0,1501.15
138,2017,prevoyance,Province,222887.0,182,sante,2,0.10434435,0,0.0,0,0.0,0.0,1114.435
139,2020,prevoyance,Cotier,498873.0,493,industrie,2,0.20924364999999998,0,0.0,0,0.0,0.0,2494.3650000000002
140,2016,prevoyance,Paris,105444.0,461,btp,0,0.1363722,0,0.0,0,0.0,0.0,527.22
141,2020,prevoyance,Province,201673.0,495,services,2,0.13458365,0,0.0,0,0.0,0.0,1008.365
142,2019,sante,Province,2834.0,33,industrie,2,0.038441699999999995,0,0.0,0,0.0,0.0,14.17
143,2019,sante,Paris,94885.0,284,btp,1,0.08814425000000001,0,0.0,0,0.0,0.0,474.425
144,2019,sante,Province,407047.0,84,industrie,3,0.07375235000000001,0,0.0,0,0.0,0.0,2035.2350000000001
145,2019,prevoyance,Province,101878.0,49,services,0,0.0649939,0,0.0,0,0.0,0.0,509.39
146,2019,sante,Province,93016.0,311,industrie,1,0.0607508,0,0.0,0,0.0,0.0,465.08
147,2018,prevoyance,Paris,46642.0,49,services,0,0.0622321,0,0.0,0,0.0,0.0,233.21
148,2017,sante,Province,542552.0,71,services,4,0.08922759999999999,0,0.0,0,0.0,0.0,2712.76
149,2019,sante,Province,314317.0,247,services,1,0.06541585,0,0.0,0,0.0,0.0,1571.585
150,2016,prevoyance,Province,438229.0,496,industrie,1,0.13651144999999998,1,800145.2431720622,1,600145.2431720622,0.0,2191.145
151,2016,prevoyance,Paris,20507.0,254,btp,1,0.12142535,0,0.0,0,0.0,0.0,102.535
152,2016,prevoyance,Cotier,134250.0,27,sante,1,0.1344125,0,0.0,0,0.0,0.0,671.25
153,2016,rc,Province,116293.0,149,services,2,0.05571464999999999,0,0.0,0,0.0,0.0,581.465
154,2018,rc,Province,116229.0,407,industrie,1,0.07151145,0,0.0,0,0.0,0.0,581.145
155,2016,sante,Province,77712.0,91,industrie,2,0.0479856,0,0.0,0,0.0,0.0,388.56
156,2019,prevoyance,Paris,107439.0,198,sante,2,0.10017195,0,0.0,0,0.0,0.0,537.195
157,2020,prevoyance,Province,451158.0,117,industrie,1,0.0992579,0,0.0,0,0.0,0.0,2255.79
158,2016,sante,Province,16392.0,243,industrie,1,0.0501196,0,0.0,0,0.0,0.0,81.96000000000001
159,2018,sante,Province,1373336.0,277,services,0,0.1113668,0,0.0,0,0.0,0.0,6866.68
160,2018,prevoyance,Province,290863.0,113,btp,2,0.13084315,0,0.0,0,0.0,0.0,1454.315
161,2016,prevoyance,Province,154694.0,420,services,0,0.10473470000000001,0,0.0,0,0.0,0.0,773.47
162,2020,sante,Paris,483207.0,143,industrie,1,0.06346035,0,0.0,0,0.0,0.0,2416.035
163,2016,prevoyance,Province,28504.0,353,btp,1,0.13172520000000001,0,0.0,0,0.0,0.0,142.52
164,2018,prevoyance,Paris,73303.0,380,services,1,0.10666514999999999,0,0.0,0,0.0,0.0,366.515
165,2017,prevoyance,Paris,140746.0,42,btp,4,0.1362373,1,239047.43375252583,1,39047.43375252583,0.0,703.73
166,2019,sante,Cotier,837915.0,246,industrie,0,0.14149575,1,202159.95520190726,1,2159.955201907258,0.0,4189.575
167,2018,rc,Province,153922.0,383,btp,1,0.1009961,0,0.0,0,0.0,0.0,769.61
168,2016,rc,Province,279307.0,345,services,3,0.09346535,0,0.0,0,0.0,0.0,1396.535
169,2019,sante,Province,80218.0,187,services,4,0.0777109,0,0.0,0,0.0,0.0,401.09000000000003
170,2016,sante,Cotier,291913.0,21,services,0,0.09169565,0,0.0,0,0.0,0.0,1459.565
171,2016,prevoyance,Province,1217960.0,360,services,0,0.151898,0,0.0,0,0.0,0.0,6089.8
172,2017,sante,Province,537472.0,450,services,0,0.0868736,0,0.0,0,0.0,0.0,2687.36
173,2019,prevoyance,Paris,147599.0,238,industrie,4,0.12617994999999999,0,0.0,0,0.0,0.0,737.995
174,2019,sante,Cotier,366073.0,318,services,1,0.13510365,0,0.0,0,0.0,0.0,1830.365
175,2017,prevoyance,Cotier,325468.0,278,services,1,0.16907339999999998,1,210955.80635989216,1,10955.806359892158,0.0,1627.3400000000001
176,2018,prevoyance,Cotier,298912.0,387,btp,1,0.20864560000000001,0,0.0,0,0.0,0.0,1494.56
177,2016,prevoyance,Paris,618062.0,465,industrie,2,0.1524031,1,239964.17323097517,1,39964.17323097517,0.0,3090.31
178,2020,prevoyance,Paris,612542.0,367,sante,1,0.1323271,1,239912.57912896242,1,39912.57912896242,0.0,3062.71
179,2016,prevoyance,Paris,139722.0,140,services,2,0.0959861,0,0.0,0,0.0,0.0,698.61
180,2016,prevoyance,Paris,351602.0,258,services,1,0.1083801,0,0.0,0,0.0,0.0,1758.01
181,2018,rc,Cotier,102774.0,457,industrie,1,0.13583869999999998,0,0.0,0,0.0,0.0,513.87
182,2016,prevoyance,Paris,53762.0,477,btp,0,0.13538809999999998,0,0.0,0,0.0,0.0,268.81
183,2017,sante,Paris,117784.0,67,btp,0,0.05758919999999999,0,0.0,0,0.0,0.0,588.92
184,2017,rc,Paris,148519.0,13,sante,0,0.02372595,0,0.0,0,0.0,0.0,742.595
185,2019,rc,Paris,22161.0,245,services,1,0.05060805,0,0.0,0,0.0,0.0,110.805
186,2020,sante,Paris,456982.0,182,services,3,0.08604909999999999,0,0.0,0,0.0,0.0,2284.91
187,2016,rc,Province,5879.0,331,btp,2,0.09839395,0,0.0,0,0.0,0.0,29.395
188,2016,prevoyance,Province,4230287.0,380,btp,1,0.3,0,0.0,0,0.0,0.0,21151.435
189,2018,prevoyance,Paris,986832.0,45,sante,2,0.1288416,0,0.0,0,0.0,0.0,4934.16
190,2017,prevoyance,Province,118989.0,288,industrie,1,0.09974945,0,0.0,0,0.0,0.0,594.945
191,2020,sante,Province,164606.0,246,btp,2,0.0978303,0,0.0,0,0.0,0.0,823.03
192,2019,sante,Paris,234115.0,284,industrie,2,0.07510575,0,0.0,0,0.0,0.0,1170.575
193,2017,prevoyance,Province,80258.0,305,services,1,0.0995129,0,0.0,0,0.0,0.0,401.29
194,2019,prevoyance,Province,205077.0,337,industrie,2,0.11895385,0,0.0,0,0.0,0.0,1025.385
195,2018,sante,Province,136927.0,409,btp,1,0.10274635,0,0.0,0,0.0,0.0,684.635
196,2018,prevoyance,Province,145346.0,67,services,2,0.0889673,0,0.0,0,0.0,0.0,726.73
197,2016,sante,Paris,202350.0,372,industrie,1,0.0723175,0,0.0,0,0.0,0.0,1011.75
198,2020,sante,Cotier,33650.0,27,services,1,0.08938249999999999,0,0.0,0,0.0,0.0,168.25
199,2019,sante,Cotier,170669.0,45,services,1,0.09803345,0,0.0,0,0.0,0.0,853.345
200,2017,sante,Cotier,198023.0,417,industrie,1,0.13660115,0,0.0,0,0.0,0.0,990.115
201,2018,rc,Paris,189970.0,138,industrie,1,0.0482985,0,0.0,0,0.0,0.0,949.85
202,2016,prevoyance,Cotier,125618.0,10,services,0,0.1222809,0,0.0,0,0.0,0.0,628.09
203,2016,sante,Cotier,637576.0,73,btp,0,0.1441788,1,202779.53133635432,1,2779.5313363543246,0.0,3187.88
204,2019,sante,Cotier,106470.0,71,services,4,0.1274235,0,0.0,0,0.0,0.0,532.35
205,2018,prevoyance,Paris,213799.0,375,services,1,0.11318994999999998,0,0.0,0,0.0,0.0,1068.9950000000001
206,2020,prevoyance,Province,772013.0,429,sante,1,0.14650065,0,0.0,0,0.0,0.0,3860.065
207,2018,prevoyance,Cotier,147968.0,340,industrie,0,0.1563984,0,0.0,0,0.0,0.0,739.84
208,2019,prevoyance,Province,210524.0,155,btp,2,0.1310262,0,0.0,0,0.0,0.0,1052.6200000000001
209,2019,sante,Province,144978.0,281,services,1,0.0603489,0,0.0,0,0.0,0.0,724.89
210,2018,rc,Cotier,718445.0,26,sante,2,0.13352224999999998,0,0.0,0,0.0,0.0,3592.225
211,2019,prevoyance,Province,119459.0,289,services,1,0.09987294999999999,0,0.0,0,0.0,0.0,597.295
212,2018,prevoyance,Province,759204.0,107,btp,0,0.1336602,1,244448.5443687641,1,44448.544368764095,0.0,3796.02
213,2017,rc,Province,143730.0,461,industrie,2,0.0882865,0,0.0,0,0.0,0.0,718.65
214,2018,prevoyance,Cotier,58026.0,236,sante,4,0.1815013,1,305599.85951508966,1,105599.85951508966,0.0,290.13
215,2018,prevoyance,Paris,367783.0,472,services,1,0.13058915,0,0.0,0,0.0,0.0,1838.915
216,2019,sante,Province,112916.0,395,services,1,0.07014580000000001,0,0.0,0,0.0,0.0,564.58
217,2019,sante,Province,342697.0,252,industrie,2,0.07733485,0,0.0,0,0.0,0.0,1713.4850000000001
218,2016,prevoyance,Province,6153.0,488,sante,2,0.12410765000000001,0,0.0,0,0.0,0.0,30.765
219,2016,prevoyance,Province,163775.0,210,btp,3,0.14418875,1,285092.4137795921,1,85092.41377959208,0.0,818.875
220,2017,prevoyance,Cotier,93758.0,403,industrie,1,0.1699879,0,0.0,0,0.0,0.0,468.79
221,2016,sante,Cotier,45437.0,446,industrie,1,0.13187185,0,0.0,0,0.0,0.0,227.185
222,2018,sante,Paris,83794.0,482,services,0,0.0673897,0,0.0,0,0.0,0.0,418.97
223,2019,prevoyance,Province,81761.0,188,industrie,7,0.14788805000000002,1,344520.7234124376,1,144520.7234124376,0.0,408.805
224,2016,sante,Paris,153648.0,462,services,0,0.06888240000000001,1,286357.39683287864,1,86357.39683287864,0.0,768.24
225,2016,rc,Paris,31546.0,279,sante,0,0.0444773,0,0.0,0,0.0,0.0,157.73
226,2017,prevoyance,Province,237882.0,243,btp,2,0.1411941,0,0.0,0,0.0,0.0,1189.41
227,2017,prevoyance,Cotier,838574.0,121,sante,1,0.17902869999999999,0,0.0,0,0.0,0.0,4192.87
228,2018,sante,Cotier,228003.0,495,services,0,0.13590015,0,0.0,0,0.0,0.0,1140.015
229,2019,prevoyance,Paris,429676.0,497,btp,1,0.1661838,0,0.0,0,0.0,0.0,2148.38
230,2017,prevoyance,Paris,605297.0,75,services,0,0.09276485000000001,0,0.0,0,0.0,0.0,3026.485
231,2016,sante,Province,717686.0,347,services,1,0.09558430000000001,0,0.0,0,0.0,0.0,3588.4300000000003
232,2019,rc,Province,1535193.0,358,services,0,0.12755965,0,0.0,0,0.0,0.0,7675.965
233,2019,rc,Paris,89407.0,446,services,2,0.08407035,0,0.0,0,0.0,0.0,447.035
234,2016,sante,Cotier,68722.0,254,sante,2,0.1238361,0,0.0,0,0.0,0.0,343.61
235,2017,sante,Cotier,416715.0,254,services,3,0.15123575,0,0.0,0,0.0,0.0,2083.575
236,2016,prevoyance,Province,380758.0,477,btp,1,0.1617379,0,0.0,0,0.0,0.0,1903.79
237,2019,sante,Cotier,412838.0,457,btp,2,0.1913419,0,0.0,0,0.0,0.0,2064.19
238,2020,prevoyance,Paris,1570868.0,81,services,1,0.1516434,0,0.0,0,0.0,0.0,7854.34
239,2020,prevoyance,Province,164991.0,366,services,2,0.11984955,0,0.0,0,0.0,0.0,824.955
240,2018,sante,Province,271411.0,58,services,3,0.06437055,0,0.0,0,0.0,0.0,1357.055
241,2016,sante,Paris,50188.0,355,industrie,0,0.0530094,0,0.0,0,0.0,0.0,250.94
242,2016,prevoyance,Cotier,2110394.0,199,btp,1,0.28041970000000005,0,0.0,0,0.0,0.0,10551.97
243,2018,rc,Province,108678.0,302,sante,2,0.0706339,0,0.0,0,0.0,0.0,543.39
244,2018,prevoyance,Province,112436.0,186,industrie,1,0.0892218,0,0.0,0,0.0,0.0,562.1800000000001
245,2018,prevoyance,Paris,107355.0,461,sante,1,0.11646775,0,0.0,0,0.0,0.0,536.775
246,2019,prevoyance,Paris,75066.0,170,industrie,0,0.0757533,0,0.0,0,0.0,0.0,375.33
247,2016,sante,Paris,67824.0,159,services,0,0.0342912,0,0.0,0,0.0,0.0,339.12
248,2019,sante,Province,86817.0,79,services,2,0.04724085,0,0.0,0,0.0,0.0,434.08500000000004
249,2018,prevoyance,Province,31604.0,42,industrie,1,0.07078019999999999,0,0.0,0,0.0,0.0,158.02
250,2016,sante,Paris,63425.0,293,industrie,3,0.07747125,0,0.0,0,0.0,0.0,317.125
251,2019,prevoyance,Province,1687495.0,353,services,3,0.20467475,0,0.0,0,0.0,0.0,8437.475
252,2019,sante,Province,393480.0,269,industrie,1,0.071574,1,286162.4759786145,1,86162.47597861447,0.0,1967.4
253,2018,prevoyance,Province,494392.0,331,industrie,1,0.1228196,0,0.0,0,0.0,0.0,2471.96
254,2016,prevoyance,Province,668406.0,86,industrie,1,0.1070203,1,991373.7753247434,1,791373.7753247434,0.0,3342.03
